Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-11-01 16:40:11,30.3,47.6,30°,40%
2023-11-01 17:40:11,30.3,49.0,29°,46%
2023-11-01 18:40:11,29.6,52.8,27°,58%
2023-11-01 19:40:11,29.6,49.7,26°,59%
2023-11-01 20:40:10,28.6,56.6,24°,71%
2023-11-01 21:40:10,27.9,57.4,23°,74%
2023-11-01 22:40:10,29.2,56.6,22°,80%
2023-11-01 23:40:10,29.2,61.0,21°,84%
2023-11-02 00:40:09,29.2,62.5,21°,82%
2023-11-02 01:40:09,29.0,60.2,22°,80%
2023-11-02 02:40:09,28.9,59.6,21°,84%
2023-11-02 03:40:09,28.7,60.3,21°,87%
2023-11-02 04:40:09,28.6,60.1,21°,83%
2023-11-02 05:40:08,28.4,59.5,21°,82%
2023-11-02 06:40:08,28.3,59.6,21°,84%
2023-11-02 07:40:08,28.2,60.0,22°,80%
2023-11-02 08:40:08,24.7,67.2,23°,73%
