Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-11-13 15:39:26,32.3,43.3,33°,25%
2023-11-13 16:39:26,32.3,44.1,33°,24%
2023-11-13 17:39:26,32.1,44.5,31°,29%
2023-11-13 18:39:25,32.6,46.6,29°,33%
2023-11-13 19:39:25,32.4,46.2,26°,40%
2023-11-13 20:39:25,32.0,42.7,25°,42%
2023-11-13 21:39:25,31.1,42.5,24°,45%
2023-11-13 22:39:24,30.3,47.0,24°,50%
2023-11-13 23:39:24,30.5,47.8,23°,54%
2023-11-14 00:39:24,30.7,48.6,23°,53%
2023-11-14 01:39:24,30.7,49.4,23°,57%
2023-11-14 02:39:24,30.4,49.4,22°,58%
2023-11-14 03:39:23,30.3,49.9,21°,65%
2023-11-14 04:39:23,30.1,50.1,21°,68%
2023-11-14 05:39:23,29.9,49.3,20°,70%
2023-11-14 06:39:23,29.7,49.4,21°,69%
2023-11-14 07:39:22,29.6,49.2,24°,53%
2023-11-14 08:39:22,29.4,45.7,27°,44%
2023-11-14 09:39:22,29.6,45.5,31°,31%
2023-11-14 10:39:22,29.9,43.7,32°,26%
2023-11-14 11:39:22,30.4,42.7,33°,24%
2023-11-14 12:39:21,31.3,41.5,34°,22%
2023-11-14 13:39:21,31.8,40.1,34°,23%
2023-11-14 14:39:21,32.1,36.8,34°,23%
2023-11-14 15:39:21,32.3,34.4,35°,21%
2023-11-14 16:39:20,32.4,35.8,34°,22%
2023-11-14 17:39:20,32.5,34.6,33°,24%
2023-11-14 18:39:20,32.6,37.0,32°,25%
2023-11-14 19:39:20,32.7,38.2,29°,29%
2023-11-14 20:39:19,32.1,41.2,28°,35%
2023-11-14 21:39:19,32.1,36.9,26°,40%
2023-11-14 22:39:19,31.8,35.5,26°,41%
