Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-09-27 18:21:09,30.7,50.3,27°,52%
2023-09-27 19:21:09,30.7,50.5,26°,57%
2023-09-27 20:21:09,31.0,51.8,26°,62%
2023-09-27 21:21:08,30.9,52.0,25°,65%
2023-09-27 22:21:08,30.6,54.0,24°,67%
2023-09-27 23:21:08,30.0,54.1,24°,72%
2023-09-28 00:21:08,30.1,56.1,23°,73%
2023-09-28 01:21:07,30.0,56.0,22°,78%
2023-09-28 02:21:07,29.9,55.8,22°,77%
2023-09-28 03:21:07,29.9,56.8,22°,80%
2023-09-28 04:21:07,29.7,56.6,22°,75%
