Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-09-29 06:38:19,27.5,58.1,21°,90%
2023-09-29 07:38:19,27.5,58.6,21°,88%
2023-09-29 08:38:18,27.2,58.8,23°,76%
2023-09-29 09:38:18,27.1,57.7,24°,71%
2023-09-29 10:38:18,26.7,58.5,25°,64%
2023-09-29 11:38:18,27.1,63.9,26°,60%
2023-09-29 12:38:18,27.5,57.7,26°,57%
2023-09-29 13:38:17,28.2,55.7,27°,56%
2023-09-29 14:38:17,28.5,55.9,27°,54%
2023-09-29 15:38:17,28.9,56.5,27°,56%
2023-09-29 16:38:17,29.0,55.9,26°,59%
2023-09-29 17:38:16,29.0,54.6,26°,61%
2023-09-29 18:38:16,29.0,54.8,26°,65%
2023-09-29 19:38:16,29.1,56.0,24°,68%
2023-09-29 20:38:16,28.7,58.1,24°,66%
2023-09-29 21:38:15,28.3,60.7,24°,71%
2023-09-29 22:38:15,27.6,62.5,23°,75%
2023-09-29 23:38:15,27.9,63.6,23°,76%
2023-09-30 00:38:15,27.5,64.0,22°,84%
2023-09-30 01:38:15,27.7,65.3,22°,84%
2023-09-30 02:38:14,27.8,65.4,21°,87%
2023-09-30 03:38:14,27.8,66.1,21°,87%
2023-09-30 04:38:14,27.6,65.9,21°,86%
2023-09-30 05:38:14,27.2,65.9,21°,86%
2023-09-30 06:38:13,27.2,65.6,21°,84%
2023-09-30 07:38:13,27.1,64.3,22°,79%
2023-09-30 08:38:13,27.2,63.4,23°,69%
2023-09-30 09:38:13,27.4,61.7,25°,61%
2023-09-30 10:38:12,27.1,56.2,26°,55%
2023-09-30 11:38:12,27.3,54.2,28°,48%
2023-09-30 12:38:12,27.9,52.0,29°,43%
2023-09-30 13:38:12,28.2,50.7,29°,41%
2023-09-30 14:38:12,28.6,49.3,31°,39%
2023-09-30 15:38:11,28.9,50.3,30°,38%
2023-09-30 16:38:11,29.2,48.6,31°,37%
2023-09-30 17:38:11,29.3,47.3,29°,41%
2023-09-30 18:38:11,29.3,48.6,28°,45%
2023-09-30 19:38:10,29.1,49.5,27°,50%
2023-09-30 20:38:10,28.7,49.3,26°,55%
2023-09-30 21:38:10,28.9,49.5,25°,59%
2023-09-30 22:38:10,28.8,49.3,24°,62%
2023-09-30 23:38:10,28.8,53.4,23°,67%
2023-10-01 00:38:09,28.7,53.2,23°,66%
2023-10-01 01:38:09,28.1,57.8,22°,71%
2023-10-01 02:38:09,27.6,57.4,22°,74%
2023-10-01 03:38:09,27.8,55.2,21°,73%
2023-10-01 04:38:08,27.5,53.4,21°,77%
2023-10-01 05:38:08,26.9,54.3,21°,81%
2023-10-01 06:38:08,27.3,54.4,21°,78%
2023-10-01 07:38:08,26.8,55.4,23°,70%
2023-10-01 08:38:07,27.1,56.0,25°,58%
2023-10-01 09:38:07,27.4,53.5,27°,50%
2023-10-01 10:38:07,27.8,53.3,28°,44%
2023-10-01 11:38:07,28.9,49.8,29°,41%
2023-10-01 12:38:07,29.0,49.4,31°,38%
2023-10-01 13:38:06,29.7,47.9,32°,33%
2023-10-01 14:38:06,30.2,46.4,32°,32%
2023-10-01 15:38:06,30.5,45.4,32°,33%
2023-10-01 16:38:06,30.7,44.3,31°,34%
2023-10-01 17:38:05,30.5,43.6,30°,38%
2023-10-01 18:38:05,30.4,44.2,28°,45%
2023-10-01 19:38:05,30.5,45.0,27°,50%
2023-10-01 20:38:05,29.9,49.3,27°,51%
2023-10-01 21:38:05,29.8,49.7,25°,60%
2023-10-01 22:38:04,29.0,53.6,23°,69%
2023-10-01 23:38:04,29.2,55.8,22°,74%
2023-10-02 00:38:04,29.0,58.2,22°,77%
2023-10-02 01:38:04,29.0,57.4,21°,82%
2023-10-02 02:38:03,28.8,57.7,21°,82%
2023-10-02 03:38:03,28.5,57.8,21°,81%
2023-10-02 04:38:03,28.0,59.3,20°,87%
2023-10-02 05:38:03,27.8,59.4,20°,88%
2023-10-02 06:38:02,27.6,60.4,20°,89%
2023-10-02 07:38:02,27.7,59.7,21°,87%
2023-10-02 08:38:02,27.2,60.0,22°,80%
2023-10-02 09:38:02,27.1,58.0,23°,74%
2023-10-02 10:38:02,27.1,58.1,24°,67%
2023-10-02 11:38:01,27.3,58.4,26°,59%
2023-10-02 12:38:01,27.5,58.3,27°,57%
2023-10-02 13:38:01,27.7,58.4,27°,56%
2023-10-02 14:38:01,28.2,55.9,28°,52%
2023-10-02 15:38:00,28.6,56.0,27°,54%
2023-10-02 16:38:00,28.6,58.0,28°,51%
2023-10-02 17:38:00,28.3,60.5,27°,55%
2023-10-02 18:38:00,27.5,58.9,24°,71%
2023-10-02 19:37:59,26.1,60.9,23°,73%
2023-10-02 20:37:59,28.1,58.0,23°,76%
2023-10-02 21:37:59,28.4,57.8,23°,78%
2023-10-02 22:37:59,28.6,58.0,22°,81%
2023-10-02 23:37:59,28.2,58.0,22°,81%
2023-10-03 00:37:58,28.0,59.0,21°,86%
2023-10-03 01:37:58,27.9,59.3,21°,90%
2023-10-03 02:37:58,27.8,60.8,21°,91%
2023-10-03 03:37:58,27.5,60.7,20°,88%
2023-10-03 04:37:57,27.4,60.9,20°,90%
2023-10-03 05:37:57,27.3,61.1,19°,92%
2023-10-03 06:37:57,27.2,60.5,20°,86%
2023-10-03 07:37:57,26.3,61.0,21°,84%
2023-10-03 08:37:57,25.9,62.5,21°,83%
2023-10-03 09:37:56,26.1,60.2,23°,76%
2023-10-03 10:37:56,26.2,59.1,24°,67%
2023-10-03 11:37:56,26.4,58.4,25°,63%
2023-10-03 12:37:56,26.7,58.8,26°,59%
2023-10-03 13:37:55,27.0,58.1,26°,57%
2023-10-03 14:37:55,27.5,54.6,27°,55%
2023-10-03 15:37:55,28.2,59.2,27°,52%
2023-10-03 16:37:55,28.6,59.3,27°,49%
2023-10-03 17:37:54,28.7,58.2,26°,54%
2023-10-03 18:37:54,28.7,58.5,25°,57%
2023-10-03 19:37:54,28.7,59.0,24°,62%
2023-10-03 20:37:54,28.7,58.4,24°,68%
2023-10-03 21:37:54,28.5,57.3,23°,73%
2023-10-03 22:37:53,28.5,58.1,22°,77%
2023-10-03 23:37:53,28.0,59.7,22°,80%
2023-10-04 00:37:53,27.2,61.7,21°,83%
2023-10-04 01:37:53,26.9,62.2,21°,81%
2023-10-04 02:37:52,26.6,62.2,20°,88%
2023-10-04 03:37:52,26.4,63.3,20°,86%
2023-10-04 04:37:52,26.3,63.4,19°,87%
2023-10-04 05:37:52,26.1,63.3,19°,86%
2023-10-04 06:37:52,26.0,63.2,20°,84%
2023-10-04 07:37:51,26.8,61.8,22°,79%
2023-10-04 08:37:51,27.2,60.6,23°,69%
2023-10-04 09:37:51,27.4,58.0,26°,56%
2023-10-04 10:37:51,27.1,57.1,27°,51%
2023-10-04 11:37:50,27.3,58.3,29°,44%
2023-10-04 12:37:50,27.8,54.7,29°,42%
2023-10-04 13:37:50,28.5,51.1,29°,43%
2023-10-04 14:37:50,28.9,49.5,29°,44%
2023-10-04 15:37:49,29.0,49.3,29°,41%
2023-10-04 16:37:49,29.2,52.2,29°,41%
2023-10-04 17:37:49,29.2,48.2,28°,44%
2023-10-04 18:37:49,29.1,48.1,27°,48%
2023-10-04 19:37:49,29.2,49.5,26°,53%
2023-10-04 20:37:48,29.2,58.4,25°,57%
2023-10-04 21:37:48,29.2,60.1,24°,60%
2023-10-04 22:37:48,29.2,55.0,23°,66%
2023-10-04 23:37:48,28.8,55.4,23°,69%
2023-10-05 00:37:47,28.7,56.5,22°,75%
2023-10-05 01:37:47,28.6,56.8,22°,73%
2023-10-05 02:37:47,28.5,57.4,21°,79%
2023-10-05 03:37:47,28.5,57.9,21°,76%
2023-10-05 04:37:46,28.4,57.9,21°,78%
2023-10-05 05:37:46,28.2,58.2,21°,78%
2023-10-05 06:37:46,28.2,58.3,22°,77%
2023-10-05 07:37:46,28.1,57.8,23°,69%
2023-10-05 08:37:46,27.9,58.0,26°,61%
2023-10-05 09:37:45,28.1,57.6,28°,53%
2023-10-05 10:37:45,28.2,57.3,28°,48%
2023-10-05 11:37:45,28.5,56.1,29°,46%
2023-10-05 12:37:45,28.3,58.0,29°,47%
