Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-10-05 13:37:44,29.1,56.1,29°,46%
2023-10-05 14:37:44,29.4,53.8,29°,46%
2023-10-05 15:37:44,29.6,52.8,29°,44%
2023-10-05 16:37:44,29.5,52.1,29°,48%
2023-10-05 17:37:43,29.6,52.5,28°,49%
2023-10-05 18:37:43,29.5,53.4,27°,54%
2023-10-05 19:37:43,29.5,55.5,26°,60%
2023-10-05 20:37:43,29.3,59.7,24°,67%
2023-10-05 21:37:43,29.3,60.5,24°,71%
2023-10-05 22:37:42,29.2,59.0,23°,74%
2023-10-05 23:37:42,28.9,58.6,23°,78%
2023-10-06 00:37:42,28.7,60.2,22°,80%
2023-10-06 01:37:42,28.6,59.6,22°,85%
2023-10-06 02:37:41,28.4,59.9,22°,83%
2023-10-06 03:37:41,28.2,60.1,21°,85%
2023-10-06 04:37:41,28.1,60.1,21°,90%
2023-10-06 05:37:41,28.0,60.5,21°,86%
2023-10-06 06:37:40,27.6,60.8,21°,85%
2023-10-06 07:37:40,27.6,60.9,22°,80%
2023-10-06 08:37:40,28.4,59.3,23°,74%
2023-10-06 09:37:40,27.5,57.8,26°,62%
