Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-11-02 12:07:22,28.8,53.7,28°,50%
2023-11-02 13:07:22,28.8,55.1,29°,49%
2023-11-02 14:07:21,29.0,53.6,30°,42%
2023-11-02 15:07:21,28.3,55.8,20°,74%
2023-11-02 16:07:21,28.1,54.7,26°,60%
2023-11-02 17:07:21,27.9,55.7,24°,68%
2023-11-02 18:07:20,28.9,56.9,24°,75%
2023-11-02 19:07:20,28.7,59.8,23°,81%
2023-11-02 20:07:20,28.5,60.0,22°,84%
2023-11-02 21:07:20,29.0,59.3,22°,86%
2023-11-02 22:07:20,29.1,60.5,22°,87%
2023-11-02 23:07:19,27.2,62.4,21°,87%
2023-11-03 00:07:19,27.0,65.9,21°,88%
2023-11-03 01:07:19,27.2,68.2,21°,90%
2023-11-03 02:07:19,27.2,68.5,21°,90%
2023-11-03 03:07:18,27.1,65.9,21°,92%
2023-11-03 04:07:18,27.0,67.2,21°,91%
2023-11-03 05:07:18,26.9,66.8,21°,90%
2023-11-03 06:07:18,26.8,66.9,20°,95%
2023-11-03 07:07:17,26.6,66.5,21°,88%
2023-11-03 08:07:17,26.7,67.0,23°,80%
2023-11-03 09:07:17,27.8,64.2,24°,74%
2023-11-03 10:07:17,28.1,62.6,25°,67%
2023-11-03 11:07:17,27.6,59.7,25°,67%
2023-11-03 12:07:16,28.4,58.1,24°,74%
