Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-09-21 20:06:58,30.2,38.5,26°,38%
2023-09-21 21:06:58,30.2,38.3,25°,41%
2023-09-21 22:06:58,30.1,39.0,24°,43%
2023-09-21 23:06:58,29.8,39.8,23°,47%
2023-09-22 00:06:58,29.6,41.3,22°,47%
2023-09-22 01:06:58,29.6,41.2,20°,54%
2023-09-22 02:06:58,29.4,41.7,20°,55%
2023-09-22 03:06:58,29.3,41.5,20°,56%
2023-09-22 04:06:58,29.1,41.7,19°,55%
2023-09-22 05:06:59,28.9,41.3,19°,56%
2023-09-22 06:06:59,28.7,41.0,19°,52%
2023-09-22 07:06:59,28.5,40.3,22°,43%
2023-09-22 08:06:59,28.4,39.1,22°,43%
2023-09-22 09:06:59,28.0,39.4,27°,32%
2023-09-22 10:06:59,28.2,37.3,29°,29%
2023-09-22 11:06:59,28.8,37.2,29°,29%
2023-09-22 12:06:59,29.5,37.6,30°,26%
2023-09-22 13:06:59,30.3,37.3,32°,24%
2023-09-22 14:06:59,30.6,37.5,32°,25%
2023-09-22 15:06:59,30.9,37.3,32°,23%
2023-09-22 16:06:59,31.0,37.0,32°,24%
2023-09-22 17:06:59,31.1,37.4,31°,24%
2023-09-22 18:07:00,30.8,37.1,30°,26%
2023-09-22 19:07:00,30.9,36.5,28°,30%
2023-09-22 20:07:00,30.3,37.4,27°,34%
2023-09-22 21:07:00,31.0,38.6,25°,39%
