Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-10-16 20:25:17,29.6,45.3,27°,38%
2023-10-16 21:25:16,29.6,45.9,25°,44%
2023-10-16 22:25:16,29.6,46.6,25°,45%
2023-10-16 23:25:16,29.0,45.2,24°,48%
2023-10-17 00:25:16,28.5,46.2,23°,52%
2023-10-17 01:25:15,28.2,47.4,23°,52%
2023-10-17 02:25:15,28.2,48.1,22°,55%
2023-10-17 03:25:15,28.0,49.5,22°,55%
2023-10-17 04:25:15,27.8,49.4,21°,56%
2023-10-17 05:25:14,27.6,49.3,21°,59%
2023-10-17 06:25:14,27.2,49.8,20°,63%
2023-10-17 07:25:14,27.2,50.0,23°,54%
2023-10-17 08:25:14,27.1,48.5,24°,49%
2023-10-17 09:25:14,27.3,48.0,27°,42%
2023-10-17 10:25:13,27.5,47.3,28°,37%
2023-10-17 11:25:13,27.9,46.9,29°,33%
2023-10-17 12:25:13,28.3,46.5,30°,30%
2023-10-17 13:25:13,29.3,38.8,31°,28%
2023-10-17 14:25:12,29.3,38.0,31°,26%
2023-10-17 15:25:12,29.8,36.4,32°,24%
2023-10-17 16:25:12,30.0,39.1,32°,22%
2023-10-17 17:25:12,30.0,40.4,31°,23%
2023-10-17 18:25:11,30.1,38.6,30°,25%
2023-10-17 19:25:11,30.1,38.5,28°,28%
2023-10-17 20:25:11,30.0,38.9,27°,31%
2023-10-17 21:25:11,30.0,38.2,26°,34%
2023-10-17 22:25:11,30.0,39.2,24°,38%
2023-10-17 23:25:10,29.7,39.4,23°,44%
2023-10-18 00:25:10,29.3,39.8,22°,46%
2023-10-18 01:25:10,29.1,40.8,21°,50%
2023-10-18 02:25:10,28.8,42.8,21°,54%
2023-10-18 03:25:09,28.7,43.6,20°,54%
2023-10-18 04:25:09,28.5,43.6,19°,55%
2023-10-18 05:25:09,28.3,43.0,19°,58%
2023-10-18 06:25:09,28.2,42.7,19°,56%
2023-10-18 07:25:09,27.9,41.3,22°,49%
2023-10-18 08:25:08,27.5,40.8,25°,39%
2023-10-18 09:25:08,27.7,41.2,28°,31%
2023-10-18 10:25:08,28.0,40.6,29°,27%
2023-10-18 11:25:08,28.4,38.9,31°,24%
2023-10-18 12:25:07,28.8,36.9,32°,21%
2023-10-18 13:25:07,29.3,33.6,32°,21%
2023-10-18 14:25:07,29.8,36.6,33°,20%
2023-10-18 15:25:07,30.4,37.8,33°,20%
2023-10-18 16:25:07,30.3,34.8,32°,21%
2023-10-18 17:25:06,30.5,37.9,32°,22%
2023-10-18 18:25:06,30.7,37.0,31°,23%
2023-10-18 19:25:06,30.4,38.1,29°,28%
2023-10-18 20:25:06,30.4,34.3,28°,32%
2023-10-18 21:25:05,30.3,36.5,26°,39%
2023-10-18 22:25:05,30.1,36.9,24°,44%
2023-10-18 23:25:05,29.9,37.2,24°,43%
2023-10-19 00:25:05,29.5,37.7,23°,47%
2023-10-19 01:25:04,29.8,38.3,22°,52%
2023-10-19 02:25:04,29.7,38.7,22°,52%
2023-10-19 03:25:04,29.3,38.9,22°,54%
2023-10-19 04:25:04,29.3,39.2,21°,57%
2023-10-19 05:25:04,29.0,39.0,21°,59%
2023-10-19 06:25:03,28.8,39.4,21°,57%
2023-10-19 07:25:03,27.9,41.0,23°,48%
2023-10-19 08:25:03,28.6,40.8,27°,41%
2023-10-19 09:25:03,28.7,40.8,28°,35%
2023-10-19 10:25:02,29.0,41.8,29°,32%
2023-10-19 11:25:02,29.6,38.5,31°,28%
2023-10-19 12:25:02,30.3,38.9,32°,26%
2023-10-19 13:25:02,30.3,38.1,32°,25%
2023-10-19 14:25:02,30.9,37.5,33°,25%
2023-10-19 15:25:01,31.3,37.3,33°,24%
2023-10-19 16:25:01,31.2,36.7,33°,25%
2023-10-19 17:25:01,31.1,37.0,32°,25%
2023-10-19 18:25:01,31.1,36.9,31°,28%
2023-10-19 19:25:00,30.9,37.6,30°,31%
2023-10-19 20:25:00,31.2,38.2,28°,35%
2023-10-19 21:25:00,30.9,38.9,28°,36%
2023-10-19 22:25:00,30.5,39.2,26°,41%
2023-10-19 23:24:59,30.5,40.1,26°,43%
2023-10-20 00:24:59,30.6,40.9,25°,46%
2023-10-20 01:24:59,30.6,41.7,23°,53%
2023-10-20 02:24:59,30.5,42.0,23°,54%
2023-10-20 03:24:59,30.4,43.4,23°,58%
2023-10-20 04:24:58,30.3,43.4,23°,54%
2023-10-20 05:24:58,30.2,43.5,23°,59%
2023-10-20 06:24:58,30.1,42.8,23°,59%
2023-10-20 07:24:58,30.0,43.4,24°,54%
2023-10-20 08:24:57,29.0,46.0,26°,51%
2023-10-20 09:24:57,29.9,45.7,27°,44%
2023-10-20 10:24:57,30.1,45.9,29°,41%
2023-10-20 11:24:57,30.3,44.8,31°,36%
2023-10-20 12:24:57,30.2,44.8,32°,32%
2023-10-20 13:24:56,30.7,43.4,32°,30%
2023-10-20 14:24:56,31.4,41.0,32°,29%
2023-10-20 15:24:56,31.5,45.8,29°,36%
2023-10-20 16:24:56,31.7,45.5,30°,37%
2023-10-20 17:24:55,31.5,44.1,29°,41%
2023-10-20 18:24:55,30.4,46.3,28°,44%
2023-10-20 19:24:55,31.0,46.0,27°,52%
2023-10-20 20:24:55,30.1,46.2,26°,58%
2023-10-20 21:24:54,29.4,51.9,24°,63%
2023-10-20 22:24:54,29.7,50.9,24°,63%
2023-10-20 23:24:54,28.5,48.0,23°,68%
2023-10-21 00:24:54,28.7,44.3,22°,72%
2023-10-21 01:24:54,27.8,55.8,22°,76%
2023-10-21 02:24:53,28.7,57.0,22°,76%
2023-10-21 03:24:53,28.7,56.3,21°,80%
2023-10-21 04:24:53,28.7,56.5,21°,80%
2023-10-21 05:24:53,28.6,57.1,21°,85%
2023-10-21 06:24:52,28.4,57.7,20°,86%
2023-10-21 07:24:52,28.2,58.3,22°,80%
2023-10-21 08:24:52,28.2,57.8,24°,64%
2023-10-21 09:24:52,28.4,57.1,26°,56%
2023-10-21 10:24:52,28.3,56.1,28°,48%
2023-10-21 11:24:51,28.9,53.0,29°,42%
2023-10-21 12:24:51,29.5,50.2,31°,38%
2023-10-21 13:24:51,30.0,52.3,31°,36%
2023-10-21 14:24:51,30.2,48.8,32°,36%
2023-10-21 15:24:50,29.6,52.1,27°,48%
2023-10-21 16:24:50,28.4,54.2,19°,81%
2023-10-21 17:24:50,28.4,56.1,25°,59%
2023-10-21 18:24:50,28.4,55.3,23°,66%
2023-10-21 19:24:49,27.9,52.8,23°,73%
2023-10-21 20:24:49,27.3,56.9,22°,77%
2023-10-21 21:24:49,26.2,58.9,22°,79%
2023-10-21 22:24:49,25.4,63.8,22°,79%
2023-10-21 23:24:49,25.0,62.5,21°,85%
2023-10-22 00:24:48,25.7,59.1,21°,85%
2023-10-22 01:24:48,26.6,59.3,21°,87%
2023-10-22 02:24:48,26.7,60.4,21°,86%
2023-10-22 03:24:48,26.8,60.5,20°,86%
2023-10-22 04:24:47,26.7,61.6,19°,88%
2023-10-22 05:24:47,26.8,62.3,19°,90%
2023-10-22 06:24:47,26.8,61.8,19°,87%
2023-10-22 07:24:47,26.8,61.6,21°,77%
2023-10-22 08:24:47,26.9,61.5,24°,66%
2023-10-22 09:24:46,27.2,60.5,25°,60%
2023-10-22 10:24:46,27.4,59.8,27°,55%
2023-10-22 11:24:46,27.0,58.7,28°,49%
2023-10-22 12:24:46,27.5,58.2,29°,44%
2023-10-22 13:24:45,28.0,55.4,29°,42%
2023-10-22 14:24:45,28.3,53.8,30°,40%
2023-10-22 15:24:45,28.6,51.8,31°,38%
2023-10-22 16:24:45,29.2,50.1,31°,37%
2023-10-22 17:24:45,29.0,47.1,29°,38%
2023-10-22 18:24:44,28.7,46.1,29°,41%
2023-10-22 19:24:44,28.4,49.4,27°,47%
2023-10-22 20:24:44,28.5,50.8,26°,52%
2023-10-22 21:24:44,28.8,61.7,25°,55%
2023-10-22 22:24:43,28.9,61.0,24°,61%
2023-10-22 23:24:43,28.8,56.0,23°,65%
2023-10-23 00:24:43,28.6,55.4,22°,69%
2023-10-23 01:24:43,28.4,56.4,21°,71%
2023-10-23 02:25:43,28.2,55.7,21°,70%
2023-10-23 03:25:43,28.2,55.7,20°,72%
2023-10-23 04:25:43,28.0,54.5,19°,78%
2023-10-23 05:25:42,27.8,54.3,20°,67%
2023-10-23 06:25:42,27.6,54.6,21°,71%
2023-10-23 07:25:42,27.6,54.9,22°,63%
2023-10-23 08:25:42,27.3,55.4,24°,58%
2023-10-23 09:25:42,27.3,54.8,26°,54%
2023-10-23 10:25:41,27.5,54.8,28°,46%
2023-10-23 11:25:41,27.9,54.2,29°,42%
2023-10-23 12:25:41,28.2,52.4,31°,36%
