Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-10-31 22:41:06,30.2,55.4,22°,77%
2023-10-31 23:41:06,30.1,56.8,22°,81%
2023-11-01 00:41:06,29.3,58.1,22°,81%
2023-11-01 01:41:06,28.8,58.6,21°,84%
2023-11-01 02:41:05,28.8,58.4,21°,85%
2023-11-01 03:41:05,28.5,57.9,21°,85%
2023-11-01 04:41:05,28.2,58.5,20°,89%
2023-11-01 05:41:05,28.0,59.2,20°,92%
2023-11-01 06:41:04,27.8,59.2,20°,91%
2023-11-01 07:41:04,27.8,58.3,22°,83%
2023-11-01 08:41:04,27.6,57.8,23°,74%
2023-11-01 09:41:04,27.8,56.2,26°,63%
2023-11-01 10:41:04,27.9,55.8,27°,57%
2023-11-01 11:41:03,28.3,54.9,28°,52%
2023-11-01 12:41:03,28.8,51.6,29°,44%
2023-11-01 13:41:03,29.7,51.9,31°,41%
