Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-10-06 11:27:28,28.5,55.0,28°,51%
2023-10-06 12:27:28,28.8,56.0,29°,47%
2023-10-06 13:27:27,28.9,56.3,29°,49%
2023-10-06 14:27:27,29.3,56.5,29°,47%
2023-10-06 15:27:27,29.6,56.9,29°,45%
2023-10-06 16:27:27,29.5,58.3,28°,51%
2023-10-06 17:27:27,29.6,58.7,27°,57%
2023-10-06 18:27:26,27.8,57.5,21°,81%
2023-10-06 19:27:26,27.6,61.6,24°,67%
2023-10-06 20:27:26,27.2,61.6,24°,72%
2023-10-06 21:27:26,27.4,61.0,23°,75%
2023-10-06 22:27:25,27.2,61.1,22°,79%
2023-10-06 23:27:25,26.5,61.8,22°,86%
2023-10-07 00:27:25,25.1,66.4,21°,88%
2023-10-07 01:27:25,25.4,69.0,21°,90%
2023-10-07 02:27:25,26.6,66.8,21°,90%
2023-10-07 03:27:24,26.6,68.0,21°,90%
2023-10-07 04:27:24,26.5,69.0,21°,88%
2023-10-07 05:27:24,26.4,69.8,21°,90%
2023-10-07 06:27:24,26.3,69.2,21°,90%
2023-10-07 07:27:23,26.4,70.2,22°,86%
2023-10-07 08:27:23,26.6,68.1,24°,74%
2023-10-07 09:27:23,26.9,67.2,26°,65%
2023-10-07 10:27:23,27.3,66.5,27°,63%
2023-10-07 11:27:22,27.6,55.9,28°,53%
2023-10-07 12:27:22,28.2,55.6,29°,51%
2023-10-07 13:27:22,28.7,53.3,30°,47%
2023-10-07 14:27:22,28.8,54.9,29°,47%
2023-10-07 15:27:22,29.4,51.9,30°,44%
2023-10-07 16:27:21,28.8,58.2,21°,81%
2023-10-07 17:27:21,27.2,63.9,24°,66%
2023-10-07 18:27:21,27.0,64.9,24°,68%
2023-10-07 19:27:21,26.9,65.0,24°,67%
2023-10-07 20:27:20,26.3,64.8,23°,75%
2023-10-07 21:27:20,25.8,67.4,23°,73%
2023-10-07 22:27:20,26.1,66.9,22°,80%
2023-10-07 23:27:20,26.0,64.6,22°,82%
2023-10-08 00:27:19,26.1,67.4,22°,81%
2023-10-08 01:27:19,25.7,64.4,21°,85%
2023-10-08 02:27:19,26.8,67.6,22°,84%
2023-10-08 03:27:19,26.9,67.2,21°,82%
2023-10-08 04:27:19,26.9,66.7,21°,87%
2023-10-08 05:27:18,26.8,65.9,21°,87%
2023-10-08 06:27:18,26.8,67.3,21°,86%
2023-10-08 07:27:18,26.8,66.6,22°,81%
2023-10-08 08:27:18,27.1,66.6,24°,71%
2023-10-08 09:27:17,27.2,65.9,26°,63%
2023-10-08 10:27:17,27.5,63.5,28°,47%
2023-10-08 11:27:17,27.8,55.3,29°,47%
2023-10-08 12:27:17,27.9,55.0,30°,43%
2023-10-08 13:27:16,28.0,54.5,30°,42%
2023-10-08 14:27:16,28.3,54.5,31°,42%
2023-10-08 15:27:16,28.4,55.6,31°,41%
2023-10-08 16:27:16,28.7,57.7,29°,46%
2023-10-08 17:27:16,28.8,56.8,29°,46%
2023-10-08 18:27:15,28.9,56.4,28°,48%
2023-10-08 19:27:15,28.9,56.2,27°,57%
2023-10-08 20:27:15,28.8,53.6,26°,57%
2023-10-08 21:27:15,28.9,54.2,26°,59%
2023-10-08 22:27:14,28.7,53.7,25°,62%
2023-10-08 23:27:14,28.7,53.4,24°,66%
2023-10-09 00:27:14,28.7,55.4,23°,73%
2023-10-09 01:27:14,28.7,56.9,23°,69%
2023-10-09 02:27:13,28.7,57.5,23°,69%
2023-10-09 03:27:13,28.6,57.8,22°,74%
2023-10-09 04:27:13,28.6,58.1,22°,74%
2023-10-09 05:27:13,28.4,58.2,23°,72%
2023-10-09 06:27:13,28.4,58.6,22°,77%
2023-10-09 07:27:12,28.3,61.3,23°,75%
2023-10-09 08:27:12,27.9,61.3,24°,67%
2023-10-09 09:27:12,27.9,61.7,26°,60%
2023-10-09 10:27:12,28.1,61.3,28°,53%
2023-10-09 11:27:11,28.4,59.8,28°,52%
2023-10-09 12:27:11,28.6,59.1,22°,77%
2023-10-09 13:27:11,28.9,58.6,19°,90%
2023-10-09 14:27:11,28.3,66.8,21°,81%
2023-10-09 15:27:11,28.0,62.5,21°,81%
2023-10-09 16:27:10,28.6,59.1,24°,67%
2023-10-09 17:27:10,29.2,59.8,25°,67%
2023-10-09 18:27:10,29.4,60.7,25°,70%
2023-10-09 19:27:10,29.3,61.5,24°,72%
2023-10-09 20:27:09,29.4,61.6,24°,74%
2023-10-09 21:27:09,28.7,63.2,23°,73%
2023-10-09 22:27:09,28.8,61.5,22°,79%
2023-10-09 23:27:09,28.6,61.0,22°,82%
2023-10-10 00:27:08,28.0,64.8,22°,81%
2023-10-10 01:27:08,27.9,64.4,21°,84%
