Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-10-10 02:27:08,27.8,62.9,21°,87%
2023-10-10 03:27:08,27.6,63.0,21°,85%
2023-10-10 04:27:08,27.6,62.7,21°,84%
2023-10-10 05:27:07,27.4,62.1,22°,82%
2023-10-10 06:27:07,27.4,61.8,22°,81%
2023-10-10 07:27:07,27.6,61.5,22°,79%
2023-10-10 08:27:07,27.2,63.2,24°,73%
2023-10-10 09:27:06,27.1,63.0,27°,62%
2023-10-10 10:27:06,27.2,63.5,28°,56%
2023-10-10 11:28:07,27.4,61.7,29°,50%
2023-10-10 12:28:06,27.8,58.8,30°,45%
2023-10-10 13:28:06,29.3,51.7,31°,41%
2023-10-10 14:28:06,29.4,49.8,31°,40%
2023-10-10 15:28:06,29.8,47.0,32°,38%
2023-10-10 16:28:06,29.6,48.0,31°,40%
2023-10-10 17:28:05,29.7,49.9,30°,42%
2023-10-10 18:28:05,29.7,49.9,29°,45%
2023-10-10 19:28:05,29.4,51.6,27°,52%
2023-10-10 20:28:05,29.5,52.0,27°,55%
2023-10-10 21:28:04,29.5,51.5,26°,60%
2023-10-10 22:28:04,29.6,52.4,25°,63%
2023-10-10 23:28:04,29.5,53.6,23°,72%
2023-10-11 00:28:04,29.4,55.0,23°,73%
2023-10-11 01:28:03,29.3,56.1,23°,74%
2023-10-11 02:28:03,29.2,56.3,22°,76%
