Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-11-06 17:47:39,29.2,51.8,28°,47%
2023-11-06 18:47:39,29.5,52.9,28°,51%
2023-11-06 19:47:39,29.4,54.2,26°,59%
2023-11-06 20:47:38,29.5,52.4,24°,62%
2023-11-06 21:47:38,29.4,55.1,24°,66%
2023-11-06 22:47:38,29.3,53.7,23°,72%
2023-11-06 23:47:38,28.9,56.4,23°,76%
2023-11-07 00:47:38,28.6,58.4,23°,77%
2023-11-07 01:47:37,28.3,60.1,22°,80%
2023-11-07 02:47:37,28.1,61.0,22°,83%
2023-11-07 03:47:37,27.9,61.8,21°,83%
2023-11-07 04:47:37,27.6,61.3,22°,80%
2023-11-07 05:47:36,27.4,62.7,21°,82%
2023-11-07 06:47:36,27.2,63.5,22°,82%
2023-11-07 07:47:36,27.1,64.2,23°,78%
2023-11-07 08:47:36,26.9,62.5,24°,72%
2023-11-07 09:47:35,26.8,62.4,25°,64%
2023-11-07 10:47:35,26.9,62.6,27°,57%
2023-11-07 11:47:35,27.1,61.5,28°,51%
2023-11-07 12:47:35,27.5,59.8,29°,48%
2023-11-07 13:47:35,27.9,56.6,29°,44%
2023-11-07 14:47:34,28.7,53.3,29°,43%
2023-11-07 15:47:34,29.1,53.6,29°,42%
2023-11-07 16:47:34,29.2,51.0,29°,43%
2023-11-07 17:47:34,29.2,50.0,28°,44%
2023-11-07 18:47:33,28.9,50.9,27°,48%
2023-11-07 19:47:33,28.8,51.2,26°,55%
2023-11-07 20:47:33,29.3,58.6,24°,60%
2023-11-07 21:47:33,29.2,55.4,23°,66%
2023-11-07 22:47:32,29.2,55.5,23°,66%
2023-11-07 23:47:32,28.9,53.5,22°,69%
2023-11-08 00:47:32,28.6,54.8,21°,72%
2023-11-08 01:47:32,28.3,55.6,21°,72%
2023-11-08 02:47:31,28.1,56.8,21°,74%
2023-11-08 03:47:31,27.9,56.8,21°,74%
2023-11-08 04:47:31,27.7,56.7,20°,75%
2023-11-08 05:47:31,27.5,57.3,19°,77%
2023-11-08 06:47:31,27.3,56.9,21°,75%
2023-11-08 07:47:30,27.1,56.4,22°,69%
2023-11-08 08:47:30,28.0,55.8,24°,62%
2023-11-08 09:47:30,27.5,54.9,25°,58%
2023-11-08 10:47:30,27.4,55.0,27°,51%
2023-11-08 11:47:29,28.3,52.3,28°,47%
2023-11-08 12:47:29,29.1,51.8,28°,43%
2023-11-08 13:47:29,29.4,50.7,29°,39%
2023-11-08 14:47:29,29.6,49.1,29°,37%
2023-11-08 15:47:28,29.7,48.0,29°,37%
2023-11-08 16:47:28,29.7,50.0,29°,36%
2023-11-08 17:47:28,29.9,48.5,28°,37%
2023-11-08 18:47:28,29.6,43.9,27°,42%
2023-11-08 19:47:28,29.7,46.7,26°,45%
2023-11-08 20:47:27,29.4,45.3,24°,48%
2023-11-08 21:47:27,29.5,46.9,23°,50%
2023-11-08 22:47:27,29.4,46.7,23°,53%
2023-11-08 23:47:27,29.4,47.6,22°,56%
2023-11-09 00:47:26,29.0,47.4,21°,57%
2023-11-09 01:47:26,28.7,46.7,21°,56%
2023-11-09 02:47:26,28.5,45.8,20°,57%
2023-11-09 03:47:26,28.4,46.7,19°,59%
2023-11-09 04:47:25,28.2,45.5,19°,56%
2023-11-09 05:47:25,28.0,43.8,18°,56%
2023-11-09 06:47:25,27.9,42.5,21°,51%
2023-11-09 07:47:25,27.8,41.6,23°,42%
2023-11-09 08:47:25,27.8,40.9,26°,36%
2023-11-09 09:47:24,27.3,39.6,28°,30%
2023-11-09 10:47:24,27.5,38.1,29°,30%
2023-11-09 11:47:24,28.7,40.4,29°,26%
2023-11-09 12:47:24,29.0,37.2,31°,24%
2023-11-09 13:47:23,29.1,37.4,31°,23%
2023-11-09 14:47:23,29.8,35.0,31°,22%
2023-11-09 15:47:23,29.8,35.5,31°,22%
2023-11-09 16:47:23,29.6,35.6,31°,21%
2023-11-09 17:47:22,29.8,36.1,29°,22%
2023-11-09 18:47:22,29.9,34.8,28°,26%
2023-11-09 19:47:22,29.8,35.3,25°,32%
2023-11-09 20:47:22,29.8,44.5,23°,36%
2023-11-09 21:47:21,29.7,40.2,23°,35%
2023-11-09 22:47:21,29.4,37.6,22°,39%
2023-11-09 23:47:21,28.9,39.4,21°,45%
2023-11-10 00:47:21,28.7,39.9,19°,51%
2023-11-10 01:47:21,28.6,38.9,20°,45%
2023-11-10 02:47:20,28.4,38.3,19°,47%
2023-11-10 03:47:20,28.3,38.4,18°,54%
2023-11-10 04:47:20,28.1,36.9,18°,54%
2023-11-10 05:47:20,27.9,38.5,18°,55%
2023-11-10 06:47:19,27.9,39.3,19°,48%
2023-11-10 07:47:19,27.8,39.0,22°,43%
2023-11-10 08:47:19,28.0,36.6,27°,33%
2023-11-10 09:47:19,28.3,37.7,28°,30%
2023-11-10 10:47:18,28.6,37.6,29°,28%
2023-11-10 11:47:18,29.1,37.6,31°,26%
2023-11-10 12:47:18,29.6,37.5,32°,24%
2023-11-10 13:47:18,29.9,37.4,32°,23%
2023-11-10 14:47:18,29.8,43.1,32°,23%
2023-11-10 15:47:17,30.2,42.6,33°,23%
2023-11-10 16:47:17,30.3,42.1,32°,23%
2023-11-10 17:47:17,30.4,41.6,31°,24%
2023-11-10 18:47:17,30.4,41.1,29°,28%
2023-11-10 19:47:16,30.2,40.0,27°,33%
2023-11-10 20:47:16,30.0,40.8,26°,36%
2023-11-10 21:47:16,29.8,39.5,26°,38%
2023-11-10 22:47:16,29.5,38.3,25°,39%
2023-11-10 23:47:15,29.3,38.9,23°,43%
2023-11-11 00:47:15,28.9,37.8,23°,44%
2023-11-11 01:47:15,28.4,37.8,23°,44%
2023-11-11 02:47:15,28.3,39.8,21°,51%
2023-11-11 03:47:15,27.4,39.4,21°,54%
2023-11-11 04:47:14,28.2,49.7,20°,57%
2023-11-11 05:47:14,28.4,47.7,20°,57%
2023-11-11 06:47:14,28.5,46.7,22°,49%
2023-11-11 07:47:14,28.5,46.0,24°,41%
2023-11-11 08:47:13,28.5,45.0,27°,34%
2023-11-11 09:47:13,28.8,44.3,29°,30%
2023-11-11 10:47:13,29.1,42.3,31°,25%
2023-11-11 11:47:13,29.5,41.9,32°,23%
2023-11-11 12:47:12,30.0,40.9,33°,20%
2023-11-11 13:47:12,30.3,34.4,33°,20%
2023-11-11 14:47:12,30.3,33.8,33°,20%
2023-11-11 15:47:12,30.4,33.5,33°,19%
2023-11-11 16:47:12,30.6,33.9,33°,19%
2023-11-11 17:47:11,30.7,34.8,32°,22%
2023-11-11 18:47:11,30.7,32.7,30°,24%
2023-11-11 19:47:11,30.7,36.4,28°,29%
2023-11-11 20:47:11,30.5,36.0,27°,32%
2023-11-11 21:47:10,30.2,36.7,25°,37%
2023-11-11 22:47:10,29.9,37.0,24°,43%
2023-11-11 23:47:10,29.7,36.3,23°,44%
2023-11-12 00:47:10,29.7,37.8,22°,54%
2023-11-12 01:47:09,29.0,41.6,22°,53%
2023-11-12 02:47:09,29.4,46.3,21°,59%
2023-11-12 03:47:09,29.3,46.4,21°,58%
2023-11-12 04:47:09,29.2,47.3,20°,58%
2023-11-12 05:47:09,29.0,47.5,19°,63%
2023-11-12 06:47:08,28.9,48.0,21°,58%
2023-11-12 07:47:08,28.8,44.9,24°,45%
2023-11-12 08:47:08,29.0,46.6,28°,35%
2023-11-12 09:47:08,29.3,45.4,31°,32%
2023-11-12 10:47:07,29.8,39.5,32°,25%
2023-11-12 11:47:07,30.1,38.4,32°,24%
2023-11-12 12:47:07,30.6,33.8,33°,22%
2023-11-12 13:47:07,30.9,36.2,33°,23%
2023-11-12 14:47:06,31.1,38.0,33°,23%
2023-11-12 15:47:06,31.3,36.2,33°,22%
2023-11-12 16:47:06,31.3,35.4,33°,23%
2023-11-12 17:47:06,31.3,35.0,32°,24%
2023-11-12 18:47:06,31.3,34.4,31°,28%
2023-11-12 19:47:05,31.1,35.1,28°,34%
2023-11-12 20:47:05,31.0,36.0,27°,38%
2023-11-12 21:47:05,30.7,35.6,26°,44%
2023-11-12 22:47:05,30.3,45.3,24°,48%
