Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-10-26 18:40:57,30.1,52.1,25°,63%
2023-10-26 19:40:56,30.0,51.9,24°,66%
2023-10-26 20:40:56,30.2,53.9,23°,72%
2023-10-26 21:40:56,30.2,55.3,23°,74%
2023-10-26 22:40:56,30.0,56.5,22°,77%
2023-10-26 23:40:55,29.3,56.9,22°,78%
2023-10-27 00:40:55,29.1,56.6,22°,81%
2023-10-27 01:40:55,28.8,57.8,22°,83%
2023-10-27 02:40:55,28.6,59.2,20°,90%
2023-10-27 03:40:54,28.6,58.9,21°,86%
2023-10-27 04:40:54,28.4,59.8,21°,84%
2023-10-27 05:40:54,28.2,59.8,21°,84%
2023-10-27 06:40:54,28.1,60.1,21°,85%
2023-10-27 07:40:54,28.2,60.3,23°,77%
2023-10-27 08:40:53,28.0,60.1,25°,66%
2023-10-27 09:40:53,28.5,57.7,27°,57%
2023-10-27 10:40:53,29.2,53.3,28°,51%
2023-10-27 11:40:53,29.5,50.1,29°,47%
2023-10-27 12:40:52,29.9,49.5,19°,90%
2023-10-27 13:40:52,29.5,57.5,25°,65%
2023-10-27 14:40:52,29.7,55.3,21°,81%
2023-10-27 15:40:52,30.1,55.3,22°,81%
2023-10-27 16:40:52,30.1,55.4,25°,69%
2023-10-27 17:40:51,30.1,55.5,24°,70%
2023-10-27 18:40:51,30.0,55.9,23°,79%
2023-10-27 19:40:51,29.8,56.8,23°,79%
2023-10-27 20:40:51,29.5,57.4,22°,81%
2023-10-27 21:40:50,28.9,56.1,22°,83%
2023-10-27 22:40:50,28.2,59.3,22°,85%
2023-10-27 23:40:50,27.4,63.6,22°,86%
2023-10-28 00:40:50,28.8,63.2,22°,86%
2023-10-28 01:40:49,29.0,63.8,22°,87%
2023-10-28 02:40:49,28.9,63.2,21°,89%
2023-10-28 03:40:49,28.8,63.8,21°,87%
2023-10-28 04:40:49,28.7,63.7,22°,84%
2023-10-28 05:40:49,28.5,64.1,22°,86%
2023-10-28 06:40:48,28.5,64.6,21°,87%
2023-10-28 07:40:48,28.5,64.4,22°,86%
2023-10-28 08:40:48,28.3,64.3,23°,79%
2023-10-28 09:40:48,27.2,65.9,24°,75%
2023-10-28 10:40:47,28.3,63.5,25°,69%
2023-10-28 11:40:47,28.6,62.5,26°,63%
2023-10-28 12:40:47,28.4,62.1,27°,58%
2023-10-28 13:40:47,27.9,60.7,28°,53%
2023-10-28 14:40:46,28.1,60.5,27°,54%
2023-10-28 15:40:46,28.0,62.4,21°,81%
2023-10-28 16:40:46,28.2,59.3,26°,62%
2023-10-28 17:40:46,27.0,58.8,24°,70%
2023-10-28 18:40:46,27.5,64.7,23°,74%
2023-10-28 19:40:45,27.1,63.8,23°,79%
2023-10-28 20:40:45,25.5,66.3,22°,81%
2023-10-28 21:40:45,25.7,66.4,22°,84%
2023-10-28 22:40:45,25.8,66.1,22°,84%
2023-10-28 23:40:44,25.6,66.7,21°,88%
2023-10-29 00:40:44,25.0,68.5,21°,89%
2023-10-29 01:40:44,26.2,64.7,21°,91%
2023-10-29 02:40:44,27.1,65.2,21°,90%
2023-10-29 03:40:43,27.3,65.9,21°,90%
2023-10-29 04:40:43,27.1,64.7,21°,89%
2023-10-29 05:40:43,27.2,64.6,21°,85%
2023-10-29 06:40:43,27.1,66.1,21°,88%
2023-10-29 07:40:43,27.1,66.4,22°,83%
2023-10-29 08:40:42,27.1,65.8,24°,73%
2023-10-29 09:40:42,27.3,63.6,26°,66%
2023-10-29 10:40:42,27.3,62.6,28°,55%
2023-10-29 11:40:42,27.9,61.3,29°,53%
2023-10-29 12:40:41,28.7,57.9,30°,47%
2023-10-29 13:40:41,28.4,56.5,31°,44%
2023-10-29 14:40:41,28.7,53.2,31°,41%
2023-10-29 15:40:41,29.0,48.3,31°,39%
2023-10-29 16:40:41,29.1,48.7,31°,39%
2023-10-29 17:40:40,29.2,50.0,29°,41%
2023-10-29 18:40:40,28.9,54.6,27°,51%
2023-10-29 19:40:40,28.5,54.7,26°,57%
2023-10-29 20:40:40,28.4,54.4,26°,57%
2023-10-29 21:40:39,28.9,56.1,23°,66%
2023-10-29 22:40:39,28.8,57.0,23°,69%
2023-10-29 23:40:39,28.8,58.6,22°,74%
2023-10-30 00:40:39,28.7,59.2,22°,78%
2023-10-30 01:40:38,28.6,60.3,22°,74%
2023-10-30 02:40:38,28.5,60.3,22°,76%
2023-10-30 03:40:38,28.4,60.8,21°,79%
2023-10-30 04:40:38,28.3,60.6,21°,77%
2023-10-30 05:40:38,28.2,60.6,22°,75%
2023-10-30 06:40:37,28.1,61.0,22°,77%
2023-10-30 07:40:37,28.1,61.7,24°,69%
2023-10-30 08:40:37,27.6,60.6,26°,61%
2023-10-30 09:40:37,27.6,61.3,27°,54%
2023-10-30 10:40:36,27.7,61.6,29°,48%
2023-10-30 11:40:36,28.0,60.9,30°,42%
2023-10-30 12:40:36,28.3,58.1,32°,36%
2023-10-30 13:40:36,29.2,50.3,32°,35%
2023-10-30 14:40:36,29.5,49.2,32°,34%
