Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-11-03 15:47:49,28.2,59.8,22°,81%
2023-11-03 16:47:49,28.3,61.3,24°,70%
2023-11-03 17:47:48,29.0,62.2,24°,69%
2023-11-03 18:47:48,27.1,63.0,23°,75%
2023-11-03 19:47:48,26.9,61.6,23°,77%
2023-11-03 20:47:48,26.8,60.4,22°,79%
2023-11-03 21:47:48,26.4,62.3,22°,80%
2023-11-03 22:47:47,26.1,65.8,22°,81%
2023-11-03 23:47:47,25.9,66.0,21°,87%
2023-11-04 00:47:47,26.0,68.9,21°,87%
2023-11-04 01:47:47,25.7,69.7,21°,89%
2023-11-04 02:47:46,26.7,73.9,21°,89%
2023-11-04 03:47:46,26.6,72.8,21°,90%
2023-11-04 04:47:46,26.6,72.4,21°,86%
2023-11-04 05:47:46,26.6,72.1,21°,87%
2023-11-04 06:47:46,26.6,71.4,21°,84%
2023-11-04 07:47:45,26.4,70.3,22°,81%
2023-11-04 08:47:45,26.3,71.0,24°,73%
2023-11-04 09:47:45,26.8,75.9,26°,66%
2023-11-04 10:47:45,27.3,70.4,27°,57%
2023-11-04 11:47:44,27.6,68.2,28°,52%
2023-11-04 12:47:44,27.9,65.9,29°,49%
2023-11-04 13:47:44,28.3,60.3,26°,62%
2023-11-04 14:47:44,27.6,60.5,24°,69%
2023-11-04 15:47:43,27.0,66.0,23°,75%
2023-11-04 16:47:43,27.0,66.2,24°,74%
2023-11-04 17:47:43,26.9,65.4,23°,75%
2023-11-04 18:47:43,27.0,65.9,23°,80%
2023-11-04 19:47:43,26.4,66.9,23°,79%
2023-11-04 20:47:42,26.2,67.7,23°,81%
2023-11-04 21:47:42,26.3,68.0,23°,77%
2023-11-04 22:47:42,26.0,69.2,22°,83%
2023-11-04 23:47:42,25.3,71.3,22°,85%
2023-11-05 00:47:41,25.7,73.6,22°,88%
2023-11-05 01:47:41,26.4,73.5,21°,90%
2023-11-05 02:47:41,26.6,73.0,21°,91%
2023-11-05 03:47:41,26.5,72.0,20°,92%
2023-11-05 04:47:40,26.4,71.7,19°,93%
2023-11-05 05:47:40,26.2,69.6,19°,91%
2023-11-05 06:47:40,26.2,70.8,20°,88%
2023-11-05 07:47:40,26.3,70.4,22°,81%
2023-11-05 08:47:40,26.4,68.4,24°,68%
2023-11-05 09:47:39,26.6,67.7,26°,63%
2023-11-05 10:47:39,27.1,66.8,27°,60%
2023-11-05 11:47:39,27.1,62.6,28°,55%
2023-11-05 12:47:39,27.5,58.8,29°,50%
2023-11-05 13:47:38,28.0,59.2,29°,47%
2023-11-05 14:47:38,28.3,60.8,28°,52%
2023-11-05 15:47:38,28.0,67.8,27°,60%
2023-11-05 16:47:38,28.0,65.5,26°,65%
2023-11-05 17:47:38,27.8,65.8,26°,68%
2023-11-05 18:47:37,27.5,63.0,24°,69%
2023-11-05 19:47:37,27.2,64.1,24°,74%
2023-11-05 20:47:37,27.0,64.3,23°,77%
2023-11-05 21:47:37,26.7,62.8,23°,78%
2023-11-05 22:48:37,26.5,66.7,22°,84%
2023-11-05 23:48:37,27.0,66.3,22°,82%
2023-11-06 00:48:37,27.0,67.7,22°,87%
2023-11-06 01:48:36,26.9,67.2,22°,84%
2023-11-06 02:48:36,26.8,67.7,21°,88%
2023-11-06 03:48:36,26.6,68.5,21°,91%
2023-11-06 04:48:36,26.6,67.9,22°,83%
2023-11-06 05:48:36,26.5,66.3,21°,85%
2023-11-06 06:48:35,26.3,65.1,22°,82%
2023-11-06 07:48:35,26.6,65.3,24°,73%
2023-11-06 08:48:35,26.4,64.4,25°,68%
2023-11-06 09:48:35,26.4,64.4,27°,63%
2023-11-06 10:48:34,26.7,64.3,27°,60%
2023-11-06 11:48:34,27.1,63.9,28°,56%
2023-11-06 12:48:34,27.3,62.9,29°,51%
2023-11-06 13:48:34,27.7,59.6,29°,48%
2023-11-06 14:48:33,28.7,55.3,30°,45%
2023-11-06 15:48:33,29.1,54.6,30°,44%
2023-11-06 16:48:33,29.1,54.2,29°,44%
