Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-10-30 19:43:50,30.4,49.8,28°,45%
2023-10-30 20:43:50,30.3,51.2,27°,48%
2023-10-30 21:43:50,30.3,52.3,26°,56%
2023-10-30 22:43:50,30.3,53.1,24°,62%
2023-10-30 23:43:49,30.0,53.5,24°,62%
2023-10-31 00:43:49,29.9,55.9,22°,72%
2023-10-31 01:43:49,29.7,56.0,23°,67%
2023-10-31 02:43:49,29.6,56.4,22°,69%
2023-10-31 03:43:48,29.5,56.8,22°,69%
2023-10-31 04:43:48,29.3,57.0,22°,72%
2023-10-31 05:43:48,29.1,57.9,22°,73%
2023-10-31 06:43:48,29.0,57.5,22°,69%
2023-10-31 07:43:47,28.9,56.9,25°,58%
2023-10-31 08:43:47,28.5,57.4,27°,50%
2023-10-31 09:43:47,28.6,56.4,29°,48%
2023-10-31 10:43:47,28.9,55.4,30°,44%
2023-10-31 11:43:47,29.3,54.1,31°,41%
2023-10-31 12:43:46,29.7,53.2,31°,39%
2023-10-31 13:43:46,30.1,53.9,31°,39%
