Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-09-28 06:51:12,29.6,57.4,22°,81%
2023-09-28 07:51:11,29.7,57.0,22°,80%
2023-09-28 08:51:11,28.8,57.4,24°,76%
2023-09-28 09:51:11,28.9,58.5,26°,65%
2023-09-28 10:51:11,29.1,54.8,27°,59%
2023-09-28 11:51:10,29.1,55.0,28°,51%
2023-09-28 12:51:10,29.6,50.0,29°,46%
2023-09-28 13:51:10,29.9,51.2,30°,44%
2023-09-28 14:51:10,30.1,49.7,31°,43%
2023-09-28 15:51:10,30.3,50.2,31°,41%
2023-09-28 16:51:09,29.7,49.3,19°,81%
2023-09-28 17:51:09,29.5,48.3,19°,81%
2023-09-28 18:51:09,29.9,49.3,27°,54%
2023-09-28 19:51:09,29.7,46.0,26°,59%
2023-09-28 20:51:08,29.4,50.0,21°,81%
2023-09-28 21:51:08,29.1,50.8,24°,68%
2023-09-28 22:51:08,29.4,54.6,22°,79%
2023-09-28 23:51:08,29.3,59.8,22°,79%
2023-09-29 00:51:08,29.0,58.7,22°,82%
2023-09-29 01:51:07,28.7,58.5,22°,81%
2023-09-29 02:51:07,28.4,57.9,22°,82%
