Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-10-11 06:47:02,28.9,56.0,22°,80%
2023-10-11 07:47:01,29.0,56.4,23°,70%
2023-10-11 08:47:01,28.5,55.5,26°,57%
2023-10-11 09:47:01,28.5,53.8,27°,51%
2023-10-11 10:47:01,28.7,53.6,28°,47%
2023-10-11 11:47:01,29.0,53.2,29°,43%
2023-10-11 12:47:00,29.4,50.3,30°,41%
2023-10-11 13:47:00,29.9,48.5,31°,37%
2023-10-11 14:47:00,30.5,50.7,31°,37%
2023-10-11 15:47:00,30.7,48.8,31°,37%
2023-10-11 16:46:59,30.8,49.0,31°,36%
2023-10-11 17:46:59,30.7,49.4,30°,38%
2023-10-11 18:46:59,30.8,49.6,28°,44%
2023-10-11 19:46:59,30.5,46.6,28°,47%
2023-10-11 20:46:58,30.2,48.0,26°,52%
2023-10-11 21:46:58,30.1,48.9,26°,54%
2023-10-11 22:46:58,29.4,48.7,25°,58%
2023-10-11 23:46:58,29.9,50.4,24°,60%
2023-10-12 00:46:58,29.7,52.1,24°,61%
