Data e Hora,Temperatura_casa (°C),Umidade_casa (%),Temperatura_real (°C),Umidade_real (%)
2023-11-13 00:51:44,30.0,49.4,23°,60%
2023-11-13 01:51:44,30.0,51.2,20°,72%
2023-11-13 02:51:43,30.0,53.0,22°,66%
2023-11-13 03:51:43,29.9,52.9,21°,71%
2023-11-13 04:51:43,29.8,52.9,21°,72%
2023-11-13 05:51:43,30.3,53.2,21°,74%
2023-11-13 06:51:42,30.2,53.4,22°,67%
2023-11-13 07:51:42,30.1,53.3,26°,55%
2023-11-13 08:51:42,29.9,54.5,28°,46%
2023-11-13 09:51:42,30.0,52.2,31°,35%
2023-11-13 10:51:42,31.1,46.7,32°,29%
2023-11-13 11:51:41,31.6,45.4,33°,25%
2023-11-13 12:51:41,31.9,48.1,34°,22%
2023-11-13 13:51:41,32.4,46.0,33°,22%
2023-11-13 14:51:41,32.3,43.9,33°,22%
